TOP MOVIES BY YEAR
Source: www.dvdsreleasedates.com
Generated: June 2, 2026
62. Him (imdb: 5.0, R)
63. KPop Demon Hunters (imdb: 7.4, PG)
64. Hamnet (imdb: 7.8, PG-13)
65. M3GAN 2.0 (imdb: 6.0, PG-13)
66. Roofman (imdb: 6.9, R)
67. Springsteen: Deliver Me from Nowhere (imdb: 6.6, PG-13)
68. The Woman in the Yard (imdb: 5.0, PG-13)
69. Nobody 2 (imdb: 6.3, R)
70. Black Bag (imdb: 6.7, R)
71. Together (imdb: 6.7, R)
72. Last Breath (imdb: 6.6, PG-13)
73. Wolf Man (imdb: 5.6, R)
74. Companion (imdb: 6.9, R)
75. Novocaine (imdb: 6.5, R)
76. Until Dawn (imdb: 5.7, R)
77. The Phoenician Scheme (imdb: 6.6, PG-13)
78. Bring Her Back (imdb: 7.1, R)
79. Caught Stealing (imdb: 6.8, R)
80. Bugonia (imdb: 7.4, R)
81. Drop (imdb: 6.1, PG-13)
82. Good Fortune (imdb: 6.5, R)
83. Friendship (imdb: 6.6, R)
84. Eternity (imdb: 6.9, PG-13)
85. The Brutalist (imdb: 7.2, R)
86. Jujutsu Kaisen: Execution (imdb: 6.6, R)
87. Love Hurts (imdb: 5.3, R)
88. The Roses (imdb: 6.6, R)
89. The Last Rodeo (imdb: 6.3, PG)
90. The Strangers: Chapter 2 (imdb: 4.7, R)
91. Nuremberg (imdb: 7.4, PG-13)
92. Death of a Unicorn (imdb: 5.8, R)
93. Sarah's Oil (imdb: 6.9, PG)
94. The Smashing Machine (imdb: 6.3, R)
95. Becoming Led Zeppelin (imdb: 7.5, PG-13)
96. Eddington (imdb: 6.6, R)
97. Rental Family (imdb: 7.6, PG-13)
98. The Day the Earth Blew Up: A Looney Tunes Movie (imdb: 6.7, PG)
99. Sketch (imdb: 6.6, PG)
100. Clown in a Cornfield (imdb: 5.6, R)

TOP MOVIES 2024
----------------------------------------
1. Inside Out 2 (imdb: 7.5, PG)
2. Deadpool & Wolverine (imdb: 7.5, R)
3. Wicked (imdb: 7.3, PG)
4. Moana 2 (imdb: 6.3, PG)
5. Despicable Me 4 (imdb: 6.2, PG)
6. Beetlejuice Beetlejuice (imdb: 6.6, PG-13)
7. Dune: Part Two (imdb: 8.4, PG-13)
8. Twisters (imdb: 6.5, PG-13)
9. Mufasa: The Lion King (imdb: 6.6, PG)
10. Sonic the Hedgehog 3 (imdb: 6.9, PG)
11. Godzilla x Kong: The New Empire (imdb: 6.0, PG-13)
12. Kung Fu Panda 4 (imdb: 6.3, PG)
13. Bad Boys: Ride or Die (imdb: 6.5, R)
14. Gladiator 2 (imdb: 6.4, R)
15. Kingdom of the Planet of the Apes (imdb: 6.8, PG-13)
16. It Ends with Us (imdb: 6.3, PG-13)
17. The Wild Robot (imdb: 8.2, PG)
18. Venom: The Last Dance (imdb: 6.0, PG-13)
19. A Quiet Place: Day One (imdb: 6.3, PG-13)
20. Ghostbusters: Frozen Empire (imdb: 6.1, PG-13)
21. IF (imdb: 6.4, PG)
22. Alien: Romulus (imdb: 7.1, R)
23. Red One (imdb: 6.2, PG-13)
24. Bob Marley: One Love (imdb: 6.2, PG-13)
25. Nosferatu (imdb: 7.1, R)
26. The Fall Guy (imdb: 6.8, PG-13)
27. The Garfield Movie (imdb: 5.7, PG)
28. A Complete Unknown (imdb: 7.3, R)
29. Longlegs (imdb: 6.5, R)
30. Mean Girls (imdb: 5.5, PG-13)
31. Smile 2 (imdb: 6.7, R)
32. Civil War (imdb: 7.0, R)
33. Furiosa: A Mad Max Saga (imdb: 7.5, R)
34. The Beekeeper (imdb: 6.3, R)
35. Transformers One (imdb: 7.6, PG)
36. Joker: Folie a Deux (imdb: 5.2, R)
37. Terrifier 3 (imdb: 6.2, NR)
38. Challengers (imdb: 7.0, R)
39. Paddington in Peru (imdb: 6.6, PG)
40. Argylle (imdb: 5.6, PG-13)
41. Madame Web (imdb: 4.1, PG-13)
42. Trap (imdb: 5.8, PG-13)
43. The Best Christmas Pageant Ever (imdb: 6.8, PG)
44. Speak No Evil (imdb: 6.8, R)
45. The Strangers: Chapter 1 (imdb: 4.7, R)
46. Poor Things (imdb: 7.7, R)
47. Conclave (imdb: 7.4, PG)
48. Night Swim (imdb: 4.7, PG-13)
49. Reagan (imdb: 6.2, PG-13)
50. The Forge (imdb: 6.8, PG)
51. Horizon: An American Saga - Chapter 1 (imdb: 6.6, R)
52. Babygirl (imdb: 5.7, R)
53. Imaginary (imdb: 4.8, PG-13)
54. Heretic (imdb: 7.0, R)
55. Abigail (imdb: 6.5, R)
56. Monkey Man (imdb: 6.8, R)
57. Arthur the King (imdb: 7.0, PG-13)
58. Kraven the Hunter (imdb: 5.5, R)
59. We Live in Time (imdb: 7.0, R)
60. Blink Twice (imdb: 6.5, R)
61. The Bikeriders (imdb: 6.6, R)
62. Homestead (imdb: 5.2, PG-13)
63. The Ministry of Ungentlemanly Warfare (imdb: 6.8, R)
64. Fly Me to the Moon (imdb: 6.6, PG-13)
65. Anora (imdb: 7.4, R)
66. Unsung Hero (imdb: 7.0, PG)
67. The First Omen (imdb: 6.5, R)
68. Cabrini (imdb: 7.3, PG-13)
69. Ordinary Angels (imdb: 7.4, PG)
70. The Watchers (imdb: 5.7, PG-13)
71. Tarot (imdb: 4.8, PG-13)
72. Kalki 2898 AD (imdb: 7.0, PG-13)
73. Demon Slayer - To the Hashira Training (imdb: 7.3, R)
74. The Substance (imdb: 7.2, R)
75. Harold and the Purple Crayon (imdb: 5.7, PG)
76. Immaculate (imdb: 5.8, R)
77. Borderlands (imdb: 4.7, PG-13)
78. MaXXXine (imdb: 6.2, R)
79. Am I Racist? (imdb: 6.6, PG-13)
80. Here (imdb: 6.3, PG-13)
81. Bonhoeffer: Pastor. Spy. Assassin. (imdb: 6.2, PG-13)
82. Sound of Hope: The Story of Possum Trot (imdb: 7.1, PG-13)
83. Never Let Go (imdb: 5.4, R)
84. Late Night with the Devil (imdb: 7.0, R)
85. Lisa Frankenstein (imdb: 6.1, PG-13)
86. Piece by Piece (imdb: 6.9, PG)
87. Saturday Night (imdb: 6.8, R)
88. The Crow (imdb: 4.7, R)
89. The Lord of the Rings: The War of the Rohirrim (imdb: 6.3, PG-13)
90. Thelma (imdb: 7.0, PG-13)
91. The Zone of Interest (imdb: 7.3, PG-13)
92. A Real Pain (imdb: 7.0, R)
93. Spy x Family Code: White (imdb: 7.3, PG-13)
94. The Fire Inside (imdb: 6.7, PG-13)
95. Love Lies Bleeding (imdb: 6.6, R)
96. Megalopolis (imdb: 4.7, R)
97. Sight (imdb: 6.6, PG-13)
98. Afraid (imdb: 5.2, PG-13)
99. I.S.S. (imdb: 5.3, R)
100. Cuckoo (imdb: 5.7, R)

TOP MOVIES 2023
----------------------------------------
1. Barbie (imdb: 6.8, PG-13)
2. The Super Mario Bros. Movie (imdb: 7.0, PG)
3. Spider-Man: Across the Spider-Verse (imdb: 8.5, PG)
4. Guardians of the Galaxy Vol. 3 (imdb: 7.9, PG-13)
5. Oppenheimer (imdb: 8.2, R)
6. The Little Mermaid (imdb: 7.2, PG)
7. Wonka (imdb: 6.9, PG)
8. Ant-Man and the Wasp: Quantumania (imdb: 6.0, PG-13)
9. John Wick: Chapter 4 (imdb: 7.6, R)
10. Sound of Freedom (imdb: 7.6, PG-13)
11. Taylor Swift: The Eras Tour (imdb: 8.0, PG-13)
12. Indiana Jones and the Dial of Destiny (imdb: 6.5, PG-13)
13. Mission: Impossible - Dead Reckoning Part One (imdb: 7.6, PG-13)
14. The Hunger Games: Ballad of Songbirds and Snakes (imdb: 6.6, PG-13)
15. Transformers: Rise of the Beasts (imdb: 6.0, PG-13)
